ZIP_CODE,Positive,Negative,Probable,date
15521,278,0,189,2023-01-02
15522,2135,0,963,2023-01-02
15530,993,0,403,2023-01-02
15531,670,0,324,2023-01-02
15533,206,0,120,2023-01-02
15534,112,0,92,2023-01-02
15535,346,0,128,2023-01-02
15536,64,0,38,2023-01-02
15537,1407,0,626,2023-01-02
15538,106,0,53,2023-01-02
15539,112,0,58,2023-01-02
15541,651,0,255,2023-01-02
15542,245,0,82,2023-01-02
15545,472,0,265,2023-01-02
15546,64,0,28,2023-01-02
15550,260,0,159,2023-01-02
15552,1311,0,340,2023-01-02
15554,337,0,277,2023-01-02
15555,14,0,11,2023-01-02
15558,333,0,81,2023-01-02
15559,321,0,217,2023-01-02
15562,31,0,8,2023-01-02
15563,508,0,280,2023-01-02
15564,23,0,10,2023-01-02
15705,107,0,123,2023-01-02
15711,73,0,22,2023-01-02
15714,1114,0,525,2023-01-02
15716,117,0,55,2023-01-02
15720,29,0,13,2023-01-02
15721,27,0,7,2023-01-02
15722,423,0,200,2023-01-02
15724,383,0,172,2023-01-02
15728,545,0,336,2023-01-02
15729,226,0,108,2023-01-02
15730,12,0,6,2023-01-02
15739,85,0,43,2023-01-02
15742,197,0,69,2023-01-02
15744,15,0,12,2023-01-02
15750,43,0,15,2023-01-02
15753,61,0,31,2023-01-02
15757,261,0,117,2023-01-02
15758,5,0,-1,2023-01-02
15759,437,0,164,2023-01-02
15760,28,0,8,2023-01-02
15762,142,0,85,2023-01-02
15763,-1,0,-1,2023-01-02
15764,14,0,-1,2023-01-02
15765,251,0,107,2023-01-02
15767,2278,0,818,2023-01-02
15770,29,0,11,2023-01-02
15771,137,0,55,2023-01-02
15772,268,0,88,2023-01-02
15773,123,0,45,2023-01-02
15775,-1,0,-1,2023-01-02
15776,11,0,5,2023-01-02
15777,22,0,15,2023-01-02
15778,34,0,13,2023-01-02
15780,35,0,6,2023-01-02
15784,26,0,6,2023-01-02
15801,3434,0,2099,2023-01-02
15821,22,0,7,2023-01-02
15823,171,0,115,2023-01-02
15824,720,0,509,2023-01-02
15825,1897,0,684,2023-01-02
15827,45,0,25,2023-01-02
15828,52,0,8,2023-01-02
15829,230,0,64,2023-01-02
15832,28,0,11,2023-01-02
15834,597,0,279,2023-01-02
15840,279,0,159,2023-01-02
15845,488,0,275,2023-01-02
15846,478,0,340,2023-01-02
15848,144,0,112,2023-01-02
15849,222,0,118,2023-01-02
15851,969,0,596,2023-01-02
15853,1097,0,566,2023-01-02
15856,117,0,65,2023-01-02
15857,1984,0,1579,2023-01-02
15860,206,0,57,2023-01-02
15861,20,0,5,2023-01-02
15864,344,0,100,2023-01-02
15865,209,0,134,2023-01-02
15866,22,0,24,2023-01-02
15868,241,0,165,2023-01-02
15870,159,0,98,2023-01-02
15901,755,0,260,2023-01-02
15902,2316,0,1044,2023-01-02
15904,3219,0,1764,2023-01-02
15905,3998,0,2362,2023-01-02
15906,2024,0,1101,2023-01-02
15909,1059,0,502,2023-01-02
15920,199,0,67,2023-01-02
15924,174,0,114,2023-01-02
15926,448,0,263,2023-01-02
15927,228,0,119,2023-01-02
15928,345,0,289,2023-01-02
15931,1950,0,967,2023-01-02
15934,47,0,51,2023-01-02
15935,460,0,302,2023-01-02
15936,296,0,183,2023-01-02
15938,524,0,253,2023-01-02
15940,868,0,573,2023-01-02
15942,332,0,236,2023-01-02
15943,698,0,475,2023-01-02
15944,561,0,248,2023-01-02
15945,52,0,22,2023-01-02
15946,1279,0,686,2023-01-02
15949,186,0,60,2023-01-02
15951,148,0,77,2023-01-02
15952,238,0,172,2023-01-02
15953,15,0,7,2023-01-02
15954,441,0,171,2023-01-02
15955,364,0,242,2023-01-02
15956,575,0,338,2023-01-02
15957,66,0,59,2023-01-02
15958,341,0,260,2023-01-02
15960,57,0,57,2023-01-02
15961,190,0,111,2023-01-02
15963,1865,0,1465,2023-01-02
16020,242,0,63,2023-01-02
16022,98,0,26,2023-01-02
16025,1190,0,346,2023-01-02
16028,375,0,64,2023-01-02
16030,67,0,17,2023-01-02
16036,29,0,8,2023-01-02
16038,695,0,150,2023-01-02
16040,156,0,64,2023-01-02
16041,338,0,103,2023-01-02
16049,591,0,138,2023-01-02
16050,302,0,86,2023-01-02
16051,474,0,205,2023-01-02
16057,2606,0,600,2023-01-02
16061,498,0,125,2023-01-02
16101,6135,0,3049,2023-01-02
16102,936,0,477,2023-01-02
